Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km,VIS,MIN,ÎÂ¶È²î
2,2018-08-02 00:02:45,11,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,28.500,28.197,27.868,27.502,27.175,26.879,26.600,26.316,26.013,25.789,25.473,25.032,24.531,24.105,23.682,23.239,22.729,22.211,21.695,21.259,20.762,20.230,19.660,19.083,18.576,17.825,16.700,15.352,14.084,12.853,11.556,10.272,8.924,7.538,6.167,4.706,3.302,1.951,0.665,-0.670,-1.893,-3.127,-4.483,-5.945,-7.394,-8.812,-9.953,-11.160,-12.368,-13.682,-15.112,-16.640,-18.102,-19.546,-21.105,-22.733,-24.434,-26.207,10000,10000,-4.9719999999999995
6,2018-08-02 00:06:37,11,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,28.500,28.075,27.693,27.286,26.909,26.575,26.265,25.954,25.596,25.340,24.974,24.477,23.927,23.484,23.029,22.567,22.037,21.497,20.953,20.537,20.065,19.542,18.981,18.415,17.939,17.245,16.203,14.926,13.706,12.564,11.364,10.173,8.889,7.547,6.197,4.755,3.376,2.044,0.756,-0.581,-1.798,-3.019,-4.384,-5.825,-7.247,-8.650,-9.794,-10.941,-12.089,-13.397,-14.834,-16.332,-17.719,-19.077,-20.547,-22.148,-23.853,-25.561,10000,10000,-4.681000000000001
10,2018-08-02 00:10:30,11,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,28.400,28.322,28.103,27.813,27.575,27.347,27.127,26.901,26.695,26.546,26.331,26.009,25.632,25.304,24.992,24.643,24.226,23.819,23.412,23.009,22.540,22.034,21.498,20.936,20.414,19.618,18.417,17.003,15.614,14.233,12.767,11.357,9.875,8.401,6.961,5.450,3.965,2.581,1.303,-0.006,-1.234,-2.492,-3.850,-5.325,-6.802,-8.225,-9.348,-10.605,-11.884,-13.183,-14.646,-16.263,-17.848,-19.406,-21.136,-22.851,-24.590,-26.484,10000,10000,-5.384999999999998
14,2018-08-02 00:14:24,11,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,28.500,28.252,27.953,27.616,27.318,27.038,26.772,26.501,26.225,26.015,25.715,25.287,24.795,24.364,23.946,23.489,22.967,22.440,21.920,21.453,20.923,20.379,19.788,19.189,18.651,17.862,16.665,15.263,13.980,12.716,11.383,10.052,8.673,7.256,5.885,4.420,3.003,1.638,0.354,-0.959,-2.186,-3.430,-4.784,-6.268,-7.749,-9.185,-10.327,-11.570,-12.810,-14.127,-15.560,-17.101,-18.591,-20.074,-21.675,-23.305,-24.979,-26.774,10000,10000,-5.145999999999999
18,2018-08-02 00:18:17,11,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,28.600,28.191,27.818,27.424,27.057,26.732,26.428,26.120,25.770,25.514,25.149,24.653,24.094,23.626,23.149,22.662,22.104,21.540,20.975,20.529,20.022,19.485,18.897,18.314,17.808,17.086,15.994,14.685,13.466,12.315,11.100,9.875,8.579,7.228,5.894,4.451,3.067,1.732,0.457,-0.881,-2.100,-3.322,-4.679,-6.140,-7.567,-8.978,-10.124,-11.300,-12.472,-13.776,-15.198,-16.691,-18.098,-19.472,-20.952,-22.541,-24.222,-25.926,10000,10000,-4.770999999999999
22,2018-08-02 00:22:09,11,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,28.500,28.296,28.018,27.693,27.412,27.145,26.894,26.633,26.377,26.181,25.904,25.503,25.044,24.642,24.252,23.822,23.325,22.830,22.338,21.886,21.374,20.839,20.261,19.670,19.135,18.345,17.146,15.738,14.422,13.131,11.768,10.417,9.007,7.574,6.188,4.715,3.279,1.909,0.623,-0.692,-1.925,-3.174,-4.530,-6.005,-7.483,-8.916,-10.059,-11.304,-12.550,-13.858,-15.298,-16.862,-18.376,-19.873,-21.497,-23.148,-24.837,-26.656,10000,10000,-5.213999999999999
26,2018-08-02 00:26:02,11,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,28.600,28.413,28.146,27.828,27.550,27.293,27.048,26.792,26.540,26.351,26.078,25.689,25.237,24.836,24.446,24.018,23.522,23.029,22.541,22.089,21.569,21.029,20.447,19.858,19.322,18.521,17.306,15.886,14.563,13.249,11.854,10.482,9.065,7.622,6.226,4.741,3.295,1.914,0.636,-0.681,-1.918,-3.180,-4.535,-6.026,-7.505,-8.949,-10.087,-11.350,-12.609,-13.923,-15.367,-16.936,-18.463,-19.970,-21.613,-23.273,-24.973,-26.796,10000,10000,-5.272
30,2018-08-02 00:29:56,11,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,28.500,28.056,27.677,27.267,26.878,26.560,26.255,25.953,25.583,25.345,24.983,24.521,23.993,23.591,23.164,22.748,22.249,21.766,21.273,20.915,20.482,19.976,19.439,18.910,18.453,17.780,16.778,15.558,14.318,13.165,11.924,10.739,9.447,8.112,6.746,5.274,3.855,2.522,1.271,-0.075,-1.285,-2.520,-3.896,-5.349,-6.734,-8.121,-9.241,-10.374,-11.521,-12.812,-14.267,-15.778,-17.189,-18.512,-19.992,-21.617,-23.383,-25.058,10000,10000,-4.615000000000002
34,2018-08-02 00:33:49,11,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,28.500,28.262,27.964,27.624,27.335,27.057,26.799,26.530,26.265,26.057,25.765,25.339,24.855,24.433,24.025,23.576,23.058,22.541,22.024,21.559,21.035,20.492,19.906,19.306,18.771,17.982,16.796,15.396,14.097,12.825,11.497,10.176,8.792,7.373,5.994,4.533,3.123,1.765,0.476,-0.847,-2.081,-3.325,-4.676,-6.150,-7.629,-9.061,-10.206,-11.445,-12.684,-13.991,-15.414,-16.961,-18.455,-19.944,-21.537,-23.163,-24.829,-26.644,10000,10000,-5.157
38,2018-08-02 00:37:42,11,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,28.500,28.309,28.037,27.714,27.438,27.180,26.935,26.679,26.429,26.243,25.974,25.584,25.133,24.736,24.352,23.934,23.446,22.963,22.481,22.036,21.525,20.991,20.416,19.829,19.295,18.501,17.303,15.897,14.572,13.265,11.881,10.525,9.109,7.673,6.282,4.802,3.361,1.992,0.720,-0.600,-1.832,-3.084,-4.435,-5.917,-7.390,-8.821,-9.955,-11.206,-12.460,-13.761,-15.195,-16.763,-18.290,-19.792,-21.424,-23.078,-24.773,-26.596,10000,10000,-5.236000000000001
42,2018-08-02 00:41:35,11,28.500,80.700,1001.300,-4.16,0,4.886,0.138,6.080,28.500,28.141,27.788,27.411,27.082,26.774,26.491,26.192,25.880,25.634,25.285,24.788,24.233,23.757,23.285,22.777,22.195,21.617,21.034,20.540,19.995,19.439,18.826,18.211,17.675,16.911,15.758,14.399,13.165,11.989,10.763,9.517,8.202,6.827,5.496,4.070,2.697,1.361,0.079,-1.252,-2.488,-3.725,-5.076,-6.554,-8.015,-9.446,-10.598,-11.816,-13.023,-14.323,-15.723,-17.228,-18.668,-20.087,-21.582,-23.157,-24.794,-26.529,10000,10000,-4.922000000000001
46,2018-08-02 00:45:28,11,28.500,80.800,1001.300,-3.64,0,4.893,0.137,6.100,28.500,28.043,27.652,27.236,26.855,26.530,26.226,25.914,25.549,25.293,24.914,24.411,23.846,23.398,22.933,22.464,21.912,21.373,20.822,20.405,19.926,19.397,18.827,18.261,17.780,17.083,16.047,14.795,13.580,12.447,11.247,10.075,8.806,7.471,6.127,4.685,3.301,1.976,0.713,-0.636,-1.859,-3.094,-4.461,-5.926,-7.335,-8.742,-9.873,-11.031,-12.191,-13.488,-14.912,-16.404,-17.805,-19.144,-20.596,-22.183,-23.892,-25.572,10000,10000,-4.635999999999999
50,2018-08-02 00:49:21,11,28.500,80.800,1001.200,-3.06,0,4.923,0.133,5.975,28.500,27.892,27.426,26.958,26.517,26.135,25.790,25.437,25.007,24.697,24.255,23.662,23.019,22.521,21.996,21.480,20.884,20.291,19.682,19.268,18.802,18.274,17.699,17.136,16.688,16.053,15.105,13.927,12.790,11.776,10.717,9.656,8.468,7.192,5.892,4.486,3.153,1.861,0.591,-0.760,-1.976,-3.181,-4.541,-5.966,-7.348,-8.733,-9.873,-10.968,-12.055,-13.340,-14.751,-16.194,-17.495,-18.739,-20.076,-21.614,-23.294,-24.902,10000,10000,-4.277000000000001
54,2018-08-02 00:53:14,11,28.400,80.700,1001.100,-3.86,0,4.954,0.136,6.269,28.400,28.315,28.102,27.810,27.577,27.360,27.153,26.932,26.728,26.587,26.373,26.059,25.685,25.369,25.068,24.729,24.309,23.917,23.521,23.131,22.667,22.159,21.621,21.067,20.553,19.756,18.563,17.166,15.770,14.381,12.898,11.503,10.027,8.548,7.097,5.576,4.081,2.699,1.440,0.127,-1.113,-2.387,-3.749,-5.235,-6.705,-8.131,-9.242,-10.506,-11.789,-13.082,-14.546,-16.171,-17.765,-19.310,-21.039,-22.756,-24.510,-26.403,10000,10000,-5.375
58,2018-08-02 00:57:07,11,28.400,80.900,1001.100,-3.48,0,4.899,0.138,6.114,28.400,28.352,28.153,27.880,27.667,27.456,27.252,27.034,26.846,26.707,26.499,26.177,25.793,25.448,25.134,24.767,24.328,23.902,23.480,23.047,22.540,22.014,21.449,20.866,20.317,19.481,18.215,16.755,15.368,13.957,12.456,11.013,9.525,8.027,6.588,5.074,3.590,2.199,0.933,-0.363,-1.595,-2.859,-4.215,-5.724,-7.229,-8.673,-9.787,-11.092,-12.404,-13.715,-15.167,-16.786,-18.393,-19.985,-21.740,-23.440,-25.150,-27.066,10000,10000,-5.524000000000001
62,2018-08-02 01:01:00,11,28.500,80.800,1001.100,-3.45,0,4.905,0.137,6.038,28.500,28.241,27.944,27.604,27.310,27.042,26.787,26.521,26.247,26.046,25.747,25.325,24.837,24.419,24.013,23.572,23.053,22.546,22.037,21.585,21.064,20.523,19.933,19.341,18.806,18.022,16.838,15.456,14.164,12.895,11.551,10.236,8.866,7.447,6.070,4.599,3.175,1.815,0.552,-0.764,-1.991,-3.242,-4.600,-6.098,-7.562,-8.995,-10.120,-11.365,-12.607,-13.913,-15.341,-16.885,-18.383,-19.850,-21.443,-23.071,-24.756,-26.547,10000,10000,-5.126999999999999
66,2018-08-02 01:04:53,11,28.500,81.100,1001.100,-3.92,0,4.876,0.140,6.046,28.500,28.118,27.757,27.372,27.035,26.726,26.441,26.140,25.816,25.570,25.212,24.706,24.140,23.663,23.187,22.681,22.096,21.518,20.931,20.447,19.906,19.349,18.734,18.123,17.593,16.839,15.701,14.361,13.139,11.975,10.754,9.526,8.227,6.860,5.533,4.105,2.734,1.401,0.130,-1.203,-2.433,-3.668,-5.024,-6.510,-7.965,-9.392,-10.534,-11.746,-12.944,-14.242,-15.642,-17.143,-18.575,-19.972,-21.448,-23.013,-24.657,-26.378,10000,10000,-4.863999999999999
70,2018-08-02 01:08:46,11,28.400,81.400,1001.000,-1.21,0,4.884,0.148,5.662,28.400,28.070,27.735,27.359,27.039,26.746,26.480,26.197,25.901,25.682,25.368,24.917,24.416,24.011,23.605,23.175,22.664,22.172,21.663,21.242,20.763,20.236,19.672,19.096,18.599,17.863,16.769,15.455,14.172,12.963,11.697,10.470,9.130,7.749,6.378,4.927,3.526,2.197,0.928,-0.410,-1.645,-2.883,-4.237,-5.688,-7.123,-8.531,-9.666,-10.850,-12.037,-13.317,-14.735,-16.274,-17.725,-19.131,-20.648,-22.260,-23.950,-25.714,10000,10000,-4.9
74,2018-08-02 01:12:39,11,28.400,80.900,1001.000,17.09,0,4.914,0.147,2.283,28.400,28.289,28.057,27.766,27.535,27.310,27.092,26.855,26.645,26.482,26.240,25.871,25.436,25.037,24.669,24.245,23.751,23.265,22.784,22.305,21.753,21.201,20.600,19.988,19.418,18.570,17.281,15.812,14.473,13.104,11.647,10.225,8.781,7.304,5.908,4.425,2.975,1.587,0.322,-0.977,-2.210,-3.476,-4.825,-6.351,-7.861,-9.318,-10.437,-11.757,-13.072,-14.389,-15.812,-17.394,-18.978,-20.547,-22.242,-23.895,-25.567,-27.433,10000,10000,-5.466000000000001
78,2018-08-02 01:16:33,11,28.500,81.200,1001.000,19.8,0,4.975,0.144,1.716,28.500,28.205,27.888,27.531,27.223,26.940,26.679,26.404,26.119,25.907,25.603,25.167,24.677,24.267,23.866,23.438,22.932,22.434,21.928,21.499,21.002,20.470,19.893,19.312,18.801,18.045,16.903,15.553,14.270,13.029,11.719,10.444,9.092,7.690,6.316,4.855,3.445,2.102,0.837,-0.483,-1.705,-2.938,-4.294,-5.761,-7.204,-8.616,-9.741,-10.952,-12.157,-13.451,-14.877,-16.413,-17.880,-19.316,-20.880,-22.504,-24.197,-25.981,10000,10000,-5.016000000000002
82,2018-08-02 01:20:25,11,28.500,81.100,1001.000,-3.31,0,4.922,0.145,6.138,28.500,28.284,28.005,27.670,27.389,27.129,26.888,26.635,26.381,26.197,25.932,25.547,25.106,24.738,24.383,23.999,23.537,23.089,22.633,22.228,21.754,21.235,20.681,20.114,19.607,18.840,17.692,16.330,14.995,13.694,12.320,11.007,9.607,8.178,6.768,5.280,3.839,2.487,1.225,-0.095,-1.319,-2.561,-3.917,-5.381,-6.829,-8.237,-9.355,-10.572,-11.797,-13.084,-14.524,-16.093,-17.601,-19.074,-20.698,-22.357,-24.075,-25.907,10000,10000,-5.145999999999999
86,2018-08-02 01:24:18,11,28.400,81.000,1000.900,-2.93,0,4.985,0.150,6.002,28.400,28.057,27.716,27.339,27.015,26.717,26.445,26.161,25.860,25.637,25.317,24.859,24.349,23.933,23.522,23.089,22.575,22.074,21.562,21.139,20.654,20.125,19.555,18.977,18.478,17.743,16.645,15.334,14.063,12.857,11.595,10.370,9.041,7.662,6.297,4.846,3.452,2.123,0.860,-0.465,-1.689,-2.918,-4.272,-5.724,-7.161,-8.561,-9.687,-10.869,-12.054,-13.333,-14.752,-16.279,-17.719,-19.121,-20.642,-22.249,-23.933,-25.694,10000,10000,-4.885999999999999
90,2018-08-02 01:28:11,11,28.400,81.100,1000.900,-2.71,0,4.987,0.144,5.870,28.400,28.147,27.845,27.503,27.221,26.951,26.700,26.432,26.171,25.969,25.675,25.242,24.748,24.322,23.911,23.462,22.936,22.422,21.900,21.429,20.898,20.353,19.755,19.146,18.599,17.807,16.613,15.224,13.931,12.672,11.350,10.045,8.667,7.252,5.893,4.445,3.037,1.693,0.431,-0.887,-2.115,-3.353,-4.698,-6.183,-7.655,-9.076,-10.203,-11.447,-12.690,-13.974,-15.374,-16.915,-18.418,-19.888,-21.462,-23.069,-24.722,-26.514,10000,10000,-5.134999999999998
94,2018-08-02 01:32:04,11,28.400,81.300,1000.800,-2.35,0,5.025,0.153,5.766,28.400,28.127,27.818,27.475,27.191,26.922,26.669,26.399,26.131,25.926,25.621,25.177,24.668,24.230,23.806,23.342,22.798,22.270,21.733,21.253,20.709,20.158,19.547,18.930,18.372,17.574,16.369,14.980,13.702,12.457,11.141,9.836,8.467,7.056,5.713,4.269,2.862,1.519,0.266,-1.050,-2.272,-3.509,-4.857,-6.359,-7.827,-9.250,-10.375,-11.627,-12.877,-14.160,-15.554,-17.087,-18.595,-20.057,-21.620,-23.211,-24.857,-26.632,10000,10000,-5.117000000000001
98,2018-08-02 01:35:57,11,28.400,81.500,1000.800,-2.52,0,5.004,0.155,5.917,28.400,28.122,27.813,27.461,27.167,26.891,26.637,26.368,26.097,25.894,25.601,25.173,24.689,24.281,23.890,23.470,22.971,22.483,21.982,21.553,21.056,20.527,19.948,19.363,18.846,18.083,16.935,15.580,14.287,13.035,11.719,10.438,9.078,7.673,6.299,4.838,3.432,2.095,0.839,-0.481,-1.697,-2.926,-4.275,-5.746,-7.188,-8.597,-9.719,-10.938,-12.152,-13.438,-14.852,-16.392,-17.870,-19.318,-20.892,-22.512,-24.192,-25.992,10000,10000,-5.047999999999998
102,2018-08-02 01:39:51,11,28.500,81.500,1000.800,-2.97,0,4.978,0.149,6.093,28.500,28.316,28.058,27.738,27.470,27.228,26.998,26.758,26.516,26.349,26.095,25.731,25.305,24.952,24.613,24.246,23.797,23.367,22.927,22.529,22.054,21.540,20.987,20.422,19.908,19.133,17.967,16.595,15.243,13.916,12.503,11.166,9.751,8.304,6.883,5.381,3.923,2.563,1.317,0.003,-1.216,-2.465,-3.827,-5.313,-6.762,-8.173,-9.278,-10.512,-11.755,-13.042,-14.487,-16.069,-17.601,-19.089,-20.743,-22.414,-24.143,-25.986,10000,10000,-5.216999999999999
106,2018-08-02 01:43:44,11,28.400,81.800,1000.700,-2.97,0,4.988,0.139,6.068,28.400,28.119,27.809,27.449,27.150,26.874,26.621,26.354,26.080,25.882,25.595,25.175,24.702,24.315,23.941,23.545,23.069,22.605,22.125,21.719,21.246,20.727,20.168,19.598,19.098,18.351,17.236,15.905,14.601,13.347,12.029,10.769,9.410,8.009,6.622,5.154,3.744,2.415,1.163,-0.164,-1.379,-2.604,-3.954,-5.412,-6.845,-8.242,-9.355,-10.552,-11.751,-13.027,-14.445,-15.990,-17.463,-18.899,-20.468,-22.096,-23.796,-25.596,10000,10000,-5.004
110,2018-08-02 01:47:37,11,28.500,81.700,1000.700,3.76,0,5.024,0.145,4.679,28.500,28.266,27.978,27.642,27.363,27.103,26.860,26.601,26.343,26.152,25.869,25.454,24.981,24.577,24.191,23.768,23.269,22.778,22.277,21.830,21.315,20.776,20.189,19.593,19.062,18.274,17.083,15.693,14.389,13.104,11.746,10.430,9.051,7.622,6.242,4.776,3.358,2.007,0.749,-0.564,-1.785,-3.024,-4.376,-5.865,-7.329,-8.748,-9.864,-11.108,-12.346,-13.639,-15.055,-16.605,-18.110,-19.587,-21.186,-22.811,-24.493,-26.307,10000,10000,-5.170000000000002
114,2018-08-02 01:51:30,11,28.500,81.400,1000.700,-2.67,0,4.995,0.158,5.934,28.500,28.289,28.016,27.691,27.420,27.168,26.930,26.679,26.428,26.246,25.973,25.575,25.113,24.717,24.343,23.930,23.438,22.958,22.473,22.033,21.517,20.979,20.394,19.804,19.270,18.475,17.272,15.875,14.558,13.251,11.863,10.528,9.137,7.697,6.302,4.821,3.389,2.027,0.775,-0.531,-1.750,-2.998,-4.353,-5.854,-7.324,-8.751,-9.861,-11.117,-12.367,-13.667,-15.096,-16.655,-18.171,-19.663,-21.293,-22.932,-24.623,-26.450,10000,10000,-5.224000000000002
118,2018-08-02 01:55:23,11,28.400,81.900,1000.700,10.12,0,5.066,0.152,3.480,28.400,28.014,27.655,27.269,26.934,26.635,26.353,26.061,25.740,25.512,25.170,24.690,24.146,23.701,23.262,22.808,22.274,21.747,21.207,20.776,20.271,19.735,19.146,18.560,18.045,17.312,16.207,14.902,13.671,12.495,11.245,10.024,8.727,7.366,6.031,4.587,3.202,1.879,0.638,-0.683,-1.883,-3.098,-4.453,-5.930,-7.352,-8.749,-9.864,-11.057,-12.242,-13.524,-14.928,-16.431,-17.864,-19.247,-20.741,-22.318,-23.992,-25.720,10000,10000,-4.817000000000002
122,2018-08-02 01:59:16,11,28.400,81.800,1000.700,-1.44,0,5.078,0.152,5.843,28.400,28.160,27.879,27.541,27.253,27.005,26.764,26.517,26.252,26.081,25.813,25.444,25.010,24.664,24.329,23.978,23.541,23.124,22.698,22.337,21.886,21.380,20.838,20.295,19.802,19.057,17.935,16.614,15.289,13.991,12.592,11.287,9.906,8.486,7.074,5.570,4.113,2.760,1.530,0.220,-0.980,-2.221,-3.589,-5.071,-6.484,-7.878,-8.970,-10.185,-11.406,-12.692,-14.144,-15.712,-17.227,-18.674,-20.309,-21.980,-23.741,-25.551,10000,10000,-5.065999999999999
126,2018-08-02 02:03:09,11,28.400,81.800,1000.700,3.6,0,5.007,0.159,4.700,28.400,28.265,28.025,27.726,27.489,27.262,27.041,26.805,26.589,26.430,26.188,25.821,25.387,25.002,24.649,24.251,23.778,23.314,22.848,22.401,21.873,21.336,20.749,20.151,19.594,18.768,17.515,16.076,14.738,13.383,11.939,10.543,9.113,7.649,6.250,4.759,3.311,1.942,0.695,-0.604,-1.815,-3.058,-4.407,-5.923,-7.406,-8.839,-9.946,-11.239,-12.529,-13.833,-15.255,-16.832,-18.399,-19.944,-21.630,-23.280,-24.963,-26.832,10000,10000,-5.385000000000002
130,2018-08-02 02:07:02,11,28.400,82.000,1000.600,-2.75,0,4.993,0.147,5.940,28.400,28.328,28.118,27.840,27.629,27.420,27.217,26.994,26.805,26.661,26.443,26.100,25.693,25.325,24.992,24.605,24.143,23.696,23.244,22.793,22.263,21.726,21.137,20.535,19.972,19.128,17.845,16.376,15.006,13.610,12.125,10.694,9.229,7.737,6.321,4.821,3.357,1.975,0.724,-0.571,-1.794,-3.053,-4.402,-5.927,-7.427,-8.874,-9.983,-11.301,-12.613,-13.919,-15.346,-16.948,-18.547,-20.125,-21.848,-23.513,-25.193,-27.098,10000,10000,-5.518000000000001
134,2018-08-02 02:10:56,11,28.400,81.800,1000.600,6.66,0,4.949,0.190,4.195,28.400,28.166,27.874,27.540,27.268,27.002,26.753,26.495,26.247,26.058,25.788,25.377,24.910,24.508,24.131,23.727,23.249,22.774,22.286,21.853,21.349,20.824,20.244,19.649,19.114,18.337,17.154,15.771,14.464,13.188,11.844,10.529,9.142,7.723,6.360,4.899,3.485,2.151,0.905,-0.393,-1.587,-2.793,-4.131,-5.591,-7.034,-8.420,-9.532,-10.754,-11.976,-13.242,-14.646,-16.188,-17.682,-19.154,-20.760,-22.377,-24.040,-25.868,10000,10000,-5.148999999999999
138,2018-08-02 02:14:48,11,28.400,82.300,1000.600,-2.06,0,5.019,0.159,5.821,28.400,28.094,27.775,27.415,27.112,26.835,26.576,26.303,26.017,25.814,25.510,25.069,24.566,24.149,23.746,23.320,22.813,22.316,21.806,21.381,20.880,20.347,19.761,19.176,18.656,17.901,16.761,15.420,14.147,12.915,11.608,10.342,9.003,7.610,6.251,4.790,3.384,2.050,0.811,-0.505,-1.710,-2.934,-4.287,-5.768,-7.204,-8.609,-9.722,-10.937,-12.141,-13.424,-14.836,-16.367,-17.835,-19.257,-20.803,-22.403,-24.082,-25.858,10000,10000,-4.986000000000001
142,2018-08-02 02:18:42,11,28.500,82.200,1000.700,-0.85,0,5.065,0.150,5.518,28.500,28.111,27.749,27.359,27.023,26.718,26.439,26.143,25.819,25.583,25.235,24.741,24.187,23.733,23.279,22.807,22.252,21.708,21.146,20.699,20.186,19.643,19.043,18.445,17.928,17.193,16.087,14.774,13.540,12.377,11.150,9.939,8.640,7.279,5.951,4.517,3.138,1.819,0.570,-0.763,-1.977,-3.195,-4.550,-6.023,-7.450,-8.851,-9.979,-11.168,-12.345,-13.620,-15.015,-16.519,-17.946,-19.317,-20.779,-22.339,-23.997,-25.717,10000,10000,-4.816000000000001
146,2018-08-02 02:22:34,11,28.500,82.000,1000.700,-1.44,0,5.045,0.153,5.585,28.500,28.178,27.846,27.483,27.177,26.893,26.629,26.347,26.055,25.833,25.506,25.034,24.499,24.041,23.593,23.116,22.558,22.009,21.444,20.966,20.422,19.870,19.253,18.637,18.089,17.313,16.138,14.767,13.515,12.305,11.029,9.758,8.427,7.036,5.705,4.269,2.882,1.549,0.297,-1.028,-2.246,-3.472,-4.822,-6.318,-7.769,-9.188,-10.316,-11.551,-12.772,-14.058,-15.445,-16.959,-18.428,-19.856,-21.370,-22.941,-24.582,-26.335,10000,10000,-5.007999999999999
150,2018-08-02 02:26:27,11,28.400,81.500,1000.700,-0.23,0,5.020,0.165,5.702,28.400,28.142,27.854,27.503,27.201,26.944,26.699,26.452,26.179,26.010,25.747,25.390,24.975,24.660,24.353,24.038,23.637,23.258,22.865,22.544,22.135,21.650,21.141,20.626,20.164,19.449,18.383,17.105,15.767,14.473,13.084,11.815,10.439,9.029,7.593,6.079,4.619,3.282,2.051,0.734,-0.462,-1.692,-3.057,-4.508,-5.898,-7.269,-8.351,-9.522,-10.712,-11.988,-13.450,-15.018,-16.514,-17.941,-19.582,-21.275,-23.068,-24.881,10000,10000,-4.976000000000001
154,2018-08-02 02:30:21,11,28.500,81.800,1000.600,-0.04,0,5.018,0.178,5.479,28.500,28.203,27.882,27.521,27.215,26.932,26.671,26.399,26.116,25.911,25.618,25.189,24.707,24.304,23.919,23.520,23.045,22.569,22.076,21.670,21.191,20.674,20.105,19.529,19.024,18.282,17.159,15.821,14.537,13.294,11.981,10.712,9.362,7.967,6.603,5.141,3.737,2.414,1.168,-0.148,-1.340,-2.536,-3.883,-5.331,-6.746,-8.118,-9.226,-10.413,-11.600,-12.871,-14.279,-15.804,-17.260,-18.685,-20.249,-21.861,-23.554,-25.351,10000,10000,-4.9879999999999995
158,2018-08-02 02:34:14,11,28.500,81.700,1000.600,-1.61,0,4.953,0.168,5.825,28.500,28.289,28.013,27.682,27.410,27.160,26.924,26.677,26.429,26.253,25.993,25.614,25.173,24.804,24.452,24.078,23.620,23.179,22.723,22.320,21.841,21.326,20.765,20.193,19.674,18.902,17.742,16.377,15.040,13.734,12.346,11.024,9.621,8.190,6.793,5.307,3.866,2.524,1.284,-0.034,-1.242,-2.466,-3.817,-5.290,-6.724,-8.115,-9.218,-10.440,-11.673,-12.944,-14.362,-15.924,-17.445,-18.918,-20.546,-22.191,-23.900,-25.733,10000,10000,-5.168000000000001
162,2018-08-02 02:38:07,11,28.500,81.300,1000.700,-0.9,0,5.030,0.150,5.547,28.500,28.189,27.867,27.508,27.200,26.920,26.657,26.382,26.093,25.881,25.566,25.119,24.611,24.185,23.771,23.327,22.803,22.290,21.768,21.323,20.807,20.266,19.675,19.084,18.562,17.796,16.639,15.286,14.017,12.780,11.472,10.202,8.865,7.465,6.100,4.643,3.241,1.898,0.644,-0.671,-1.887,-3.125,-4.479,-5.965,-7.413,-8.830,-9.946,-11.169,-12.385,-13.678,-15.094,-16.620,-18.088,-19.522,-21.081,-22.689,-24.370,-26.141,10000,10000,-5.016
166,2018-08-02 02:41:59,11,28.600,81.600,1000.700,14.7,0,5.069,0.153,2.446,28.600,28.186,27.809,27.411,27.063,26.746,26.458,26.153,25.820,25.566,25.201,24.684,24.107,23.625,23.140,22.640,22.055,21.481,20.885,20.412,19.880,19.330,18.717,18.105,17.579,16.843,15.735,14.417,13.196,12.055,10.864,9.668,8.381,7.028,5.715,4.295,2.933,1.621,0.368,-0.973,-2.196,-3.411,-4.758,-6.225,-7.654,-9.054,-10.190,-11.374,-12.546,-13.814,-15.193,-16.680,-18.090,-19.453,-20.887,-22.430,-24.062,-25.765,10000,10000,-4.788
170,2018-08-02 02:45:52,11,28.600,82.000,1000.700,24.63,0,4.926,0.188,0.822,28.600,28.370,28.076,27.734,27.453,27.180,26.932,26.672,26.418,26.225,25.960,25.554,25.101,24.713,24.340,23.950,23.488,23.025,22.543,22.128,21.646,21.127,20.561,19.977,19.463,18.703,17.550,16.174,14.853,13.574,12.233,10.928,9.535,8.119,6.744,5.278,3.863,2.533,1.276,-0.038,-1.239,-2.439,-3.777,-5.203,-6.631,-8.004,-9.126,-10.320,-11.515,-12.773,-14.180,-15.725,-17.203,-18.661,-20.250,-21.872,-23.549,-25.388,10000,10000,-5.129
